# generated by history-censoring.sql on 2026-08-19
prediction_age,rank_band,rows,resolution_rate,win_rate_among_resolved,score_mean
i up to 179,a 1-5 (displayed),5906,0.3662377243481206,0.28525196486361537,0.49474668542287575
i up to 179,b 6-10,4896,0.36070261437908496,0.23669309173272934,0.4208586467848527
i up to 179,c 11-20,8373,0.35841394959990447,0.2239253582139287,0.37622650351078035
i up to 179,d 21-50,19301,0.3282731464690949,0.22269570707070707,0.33507432331523657
i up to 179,e 51+,167730,0.3138138675251893,0.28218329660308533,0.23865093873179985
ii 180-364,a 1-5 (displayed),5810,0.3567986230636833,0.24650265315967199,0.4889754373659138
ii 180-364,b 6-10,4368,0.3608058608058608,0.2036802030456853,0.4133209850011398
ii 180-364,c 11-20,7216,0.3589246119733925,0.1583011583011583,0.37162694968813353
ii 180-364,d 21-50,15825,0.3260031595576619,0.13335917813529755,0.32837601569223995
ii 180-364,e 51+,94994,0.31952544371223446,0.06457351826837544,0.2529384684127414
iii 365+ days,a 1-5 (displayed),6025,0.2632365145228216,0.2610340479192938,0.4006238468180883
iii 365+ days,b 6-10,4748,0.2548441449031171,0.2413223140495868,0.3115308684092547
iii 365+ days,c 11-20,6667,0.2833358332083396,0.16146109052408683,0.2988367278199132
iii 365+ days,d 21-50,12248,0.2810254735467015,0.11824520627542126,0.2797291302306211
iii 365+ days,e 51+,61417,0.2402754937558005,0.0679677441214339,0.2085679624294592
