# generated by history-censoring.sql on 2026-08-19 | so predicoes com 365+ dias | corte por faixa do sistema e por decil com desempate declarado
cutoff,bucket,rows,score_min,score_max,resolution_rate,win_rate_among_resolved
band,0.1 - 0.2,44271,0.10260144184876055,0.19995196710605864,0.23473605746425424,0.09719014626635873
band,0.2 - 0.3,27040,0.20001824262219536,0.29993185292874275,0.23909023668639054,0.0931167826759474
band,0.3 - 0.4,10077,0.30007943945186966,0.3998902025348068,0.2851046938572988,0.11764705882352941
band,0.4 - 0.5,3896,0.4000332810582098,0.49995626718231356,0.398870636550308,0.11776061776061776
band,0.5 - 0.6,2049,0.5003753752580806,0.599960631645214,0.296730112249878,0.21217105263157895
band,0.6 - 0.7,2512,0.6000933038309169,0.6999102607509907,0.27428343949044587,0.14804063860667635
band,0.7 - 0.8,1188,0.7002954808153463,0.7999917167780102,0.24326599326599327,0.16262975778546712
band,0.8 - 0.9,72,0.8000487220380128,0.8209151829674709,0.19444444444444445,0.7142857142857143
decile,1,9111,0.10260144184876055,0.14123365636495894,0.20788058390955988,0.09714889123548047
decile,2,9111,0.14123365636495894,0.15381254900067892,0.24892986499835365,0.08994708994708994
decile,3,9111,0.15381254900067892,0.16296782336370036,0.22379541213917242,0.08876900441392839
decile,4,9111,0.16298802158585146,0.17535776692752075,0.19108769619141697,0.10051694428489374
decile,5,9111,0.17535776692752075,0.2001042565111339,0.2703325650312809,0.10921640276086074
decile,6,9110,0.2001042565111339,0.20906270661702261,0.1495060373216246,0.07782672540381791
decile,7,9110,0.20906270661702261,0.24614177982554997,0.32458836443468714,0.10551234359147785
decile,8,9110,0.24614177982554997,0.3188231500810632,0.2785949506037322,0.09613869188337273
decile,9,9110,0.31882805873865483,0.4103694646735845,0.2928649835345774,0.11394302848575712
decile,10,9110,0.4103694646735845,0.8209151829674709,0.3242590559824369,0.14962762356127285
