# generated by closed-deals-shown-at-top.sql on 2026-08-19 | denominator = top-5 rows, open and closed
month,rows_top5,already_closed_in_top5,fraction
2025-01-01,363,0,0.0
2025-02-01,537,2,0.0037243947858473
2025-03-01,586,0,0.0
2025-04-01,647,0,0.0
2025-05-01,1220,1,8.19672131147541E-4
2025-06-01,966,2,0.002070393374741201
2025-07-01,1186,13,0.010961214165261383
2025-08-01,929,6,0.006458557588805167
2025-09-01,967,4,0.004136504653567736
2025-10-01,1135,9,0.007929515418502203
2025-11-01,920,12,0.013043478260869565
2025-12-01,860,7,0.00813953488372093
2026-01-01,932,25,0.02682403433476395
2026-02-01,754,25,0.033156498673740056
2026-03-01,1432,51,0.0356145251396648
2026-04-01,752,7,0.009308510638297872
2026-05-01,1027,20,0.019474196689386564
2026-06-01,746,12,0.0160857908847185
2026-07-01,1107,14,0.012646793134598013
2026-08-01,675,14,0.02074074074074074
