# generated by customer-concentration.sql on 2026-08-19 | identificadores de empresa NAO saem, so posicao e fracao (D-001)
month,customers,rows,fraction_largest_customer,fraction_three_largest_customers,fraction_resolved_largest_customer
2025-01-01,17,1928,0.2946058091286307,0.6483402489626556,0.206286836935167
2025-02-01,21,5153,0.3060353192315156,0.6537939064622549,0.3275488069414317
2025-03-01,18,8043,0.4712172075096357,0.8728086534875047,0.5316718587746625
2025-04-01,34,6577,0.3040900106431504,0.5356545537479094,0.30034924330616997
2025-05-01,47,24558,0.718299535792817,0.8038928251486277,0.6446907817969662
2025-06-01,51,12576,0.27520674300254455,0.45372137404580154,0.25022373366744227
2025-07-01,60,22166,0.25836867274203734,0.40336551475232335,0.07900432900432901
2025-08-01,53,17474,0.27097401854183356,0.57725763992217,0.027186761229314422
2025-09-01,67,18596,0.1378253387825339,0.352064960206496,0.017473326117210454
2025-10-01,95,21084,0.14247770821476,0.30980838550559664,0.156235238545111
2025-11-01,84,20096,0.09987062101910828,0.23507165605095542,0.30200827839950944
2025-12-01,83,17307,0.1160801987635061,0.2984919396775871,0.0022058823529411764
2026-01-01,106,31467,0.17863158229256046,0.33406425779387927,0.026882253744668187
2026-02-01,80,15130,0.11506939854593523,0.28512888301387973,0.020554984583761562
2026-03-01,119,71459,0.3800361046194321,0.6668579185267076,0.7041457955877651
2026-04-01,97,23973,0.11504609352187878,0.270345805698077,0.16815411406181976
2026-05-01,109,39697,0.3759981862609265,0.5584049172481548,0.06247013855709508
2026-06-01,98,18382,0.10836688064410836,0.27325644652377323,0.010067958721369242
2026-07-01,138,33094,0.09255454160875083,0.24161479422251766,0.011233617640940295
2026-08-01,102,16764,0.14936769267477928,0.32808398950131235,0.12432432432432433
