# generated by effective-score-weights.sql on 2026-08-19 | whole prediction history
measure,value
rows,425524
max_residual,0.0
matching_fraction,1.0
mean_uplift_share,0.5258554778077068
uplift_min,0.038755137991779216
uplift_max,0.7303664921465969
uplift_mean,0.1307367201867289
uplift_negative,0
probability_mean,0.21255859789966594
uplift_values,28
probability_values,71618
score_values,73949
sd_uplift_term,0.013815714752294124
sd_probability_term,0.13374796304235326
sd_ratio_uplift_over_probability,0.10329663673396787
corr_probability_score,0.9953859745914903
corr_uplift_score,0.370339747183886
requests_with_more_than_five,2980
mean_overlap_probability,0.94248322147651
mean_overlap_uplift,0.4085234899328859
fraction_top5_identical_to_probability,0.7600671140939598
fraction_top5_identical_to_uplift,0.07449664429530202
