training_fold,term,coefficient,odds_ratio
0,intercept,-2.533841,0.079354
0,f_rating=null,-0.125031,0.882469
0,f_rating=r2,-1.058795,0.346873
0,f_rating=r5,1.524783,4.594145
0,f_rating=other,0.536728,1.710401
0,f_stage=low,0.29295,1.340375
0,f_stage=medium,0.631359,1.880163
0,f_stage=high,1.310016,3.706234
0,f_inactivity=null,1.440925,4.224601
0,f_inactivity=medium,0.097767,1.102706
0,f_inactivity=long,-0.583139,0.558144
0,f_interactions=i3_5,-0.111471,0.894518
0,f_interactions=i6_11,-0.04535,0.955663
0,f_interactions=i12_plus,-0.057854,0.943788
0,f_value=positive,0.680897,1.975648
1,intercept,-2.511169,0.081173
1,f_rating=null,-0.18328,0.832535
1,f_rating=r2,-1.375659,0.252673
1,f_rating=r5,1.560168,4.759619
1,f_rating=other,0.515735,1.674869
1,f_stage=low,0.198177,1.219179
1,f_stage=medium,0.507504,1.66114
1,f_stage=high,1.28311,3.607843
1,f_inactivity=null,1.476545,4.377793
1,f_inactivity=medium,-0.033577,0.96698
1,f_inactivity=long,-0.595045,0.551538
1,f_interactions=i3_5,-0.14508,0.864953
1,f_interactions=i6_11,-0.052166,0.949171
1,f_interactions=i12_plus,-0.078511,0.924492
1,f_value=positive,0.635108,1.887226
