# generated by auc-within-request-and-bounds.sql on 2026-09-05 | precisao@5 sob razao limitada lambda, requisicoes com cinco ou mais itens; lambda=0 piso, lambda=1 MAR, lambda grande teto
lambda,p5_under_bounded_ratio,requests
0.0,0.0863234846177277,3283
0.25,0.1290682888875635,3283
0.5,0.17181309315739932,3283
0.75,0.21455789742723508,3283
1.0,0.2573027016970708,3283
1.5,0.3427923102367424,3283
2.0,0.428281918776414,3283
3.0,0.5992611358557574,3283
4.0,0.7323960938008317,3283
100.0,0.7443801401157479,3283
