# generated by who-lacks-an-outcome.sql on 2026-08-20 | deal age = creation to prediction; prediction age = prediction to today
deal_age,prediction_age,rows,resolution_rate
i   up to 30d,1 prediction up to 179,58885,0.2909569499872633
i   up to 30d,2 prediction 180-364,38418,0.3857827060232183
i   up to 30d,3 prediction 365d+,27815,0.39640481754449036
ii  31 to 90d,1 prediction up to 179,87760,0.4395396536007293
ii  31 to 90d,2 prediction 180-364,32618,0.47265313630510764
ii  31 to 90d,3 prediction 365d+,22464,0.25961538461538464
iii 91 to 365d,1 prediction up to 179,45769,0.2175489960453582
iii 91 to 365d,2 prediction 180-364,41971,0.23666341045007266
iii 91 to 365d,3 prediction 365d+,31904,0.16029338014042127
iv  365d+,1 prediction up to 179,16785,0.03550789395293417
iv  365d+,2 prediction 180-364,14805,0.10645052347180006
iv  365d+,3 prediction 365d+,9323,0.10061139118309557
