# generated by win-rate-series.sql on 2026-08-20 | win rate among resolved deals; at least 30 resolved per (month, customer)
month,weighted_raw,mean_of_means,balanced_panel,eligible_customers,veterans_in_month,fraction_largest_customer
2025-01-01,0.195822454308094,0.2340062111801242,,3,0,0.6706021251475797
2025-02-01,0.14932680538555693,0.22006283104086563,,8,0,0.48523076923076924
2025-03-01,0.10967741935483871,0.2270950999256183,,7,0,0.4934253352428069
2025-04-01,0.11790393013100436,0.15072200826561688,,10,0,0.4311273981461522
2025-05-01,0.08442503639010189,0.1005297815556864,0.1278538812785388,15,1,0.8107735441467114
2025-06-01,0.07981818181818182,0.12963876292719148,0.1144578313253012,26,1,0.29167368953311984
2025-07-01,0.10337791883926548,0.1491927445139636,0.08290155440414508,20,1,0.4079640974497792
2025-08-01,0.07213014119091467,0.16390448319165618,0.16636528028933092,13,1,0.3579257691435483
2025-09-01,0.11132561132561132,0.16446175537506252,0.1506849315068493,21,1,0.241564561734213
2025-10-01,0.05472513897467573,0.1240619811136483,0.0379746835443038,32,1,0.21883878487652073
2025-11-01,0.11460855528652139,0.20541190798591244,0.12345679012345678,31,1,0.14445084209011083
2025-12-01,0.06887274683884853,0.11264264253156947,0.28125,26,1,0.13043968432919956
2026-01-01,0.08344507478081485,0.13425723385441402,,36,0,0.24713123763464498
2026-02-01,0.1071532001158413,0.06416763205164165,,18,0,0.2040792404173016
2026-03-01,0.3825438289392185,0.13257315067708714,0.04391891891891892,45,1,0.4116942574737736
2026-04-01,0.09462511291779585,0.10522402355581169,0.0546875,32,1,0.17785516218481975
2026-05-01,0.13430564362714015,0.1664728239817037,0.017857142857142856,36,1,0.4537329766536965
2026-06-01,0.14099361643075214,0.15996662578181298,0.0410958904109589,30,1,0.1645193260654113
2026-07-01,0.14130434782608695,0.21806459517659108,,24,0,0.17678633267921043
2026-08-01,0.20502092050209206,0.16757885845701637,,9,0,0.4711194731890875
